File,Line,Japanese Text,English Translation,Korean Translation,Suggested String Key,Category,Priority
IntonationVisualizer.kt,96,急激に下がる,Sharp drop,급격히 내려감,sentence_desc_command,Description,Low
IntonationVisualizer.kt,159,イントネーション曲線,Intonation curve,억양 곡선,label_intonation_curve,Label,Low
IntonationVisualizer.kt,282,文末上昇,Final rise,문말 상승,label_final_rise,Label,Low
IntonationVisualizer.kt,287,文末下降,Final fall,문말 하강,label_final_fall,Label,Low
IntonationVisualizer.kt,408,改善のヒント,Improvement hints,개선 힌트,label_improvement_hints,Label,Medium
IntonationVisualizer.kt,439,完璧です！平叙文のイントネーションが自然です。,Perfect! Natural statement intonation,완벽해요! 평서문 억양이 자연스럽습니다.,feedback_intonation_statement_perfect,Feedback,Medium
IntonationVisualizer.kt,440,素晴らしい！疑問文の上昇イントネーションが正確です。,Excellent! Accurate question intonation,훌륭해요! 의문문 상승 억양이 정확합니다.,feedback_intonation_question_perfect,Feedback,Medium
IntonationVisualizer.kt,451,文末をもう少し下げてみましょう。平叙文は下降調です。,Try lowering the end more. Statements fall,문말을 좀 더 내려보세요. 평서문은 하강조입니다.,hint_statement_lower,Hint,Medium
IntonationVisualizer.kt,452,文末を上げて疑問の気持ちを表現しましょう。,Raise the end to express questioning,문말을 올려서 의문을 표현하세요.,hint_question_raise,Hint,Medium
IntonationVisualizer.kt,453,感情をもっと込めて、音程の変化を大きくしましょう。,Put more emotion; bigger pitch changes,감정을 더 담아서 음정 변화를 크게 하세요.,hint_exclamation_emotion,Hint,Medium
IntonationVisualizer.kt,454,もっと強く、急激に下げてみましょう。,Try dropping more sharply and strongly,더 강하고 급격하게 내려보세요.,hint_command_sharp,Hint,Medium
FeedbackCard.kt,149,より良い表現:,Better expression:,더 나은 표현:,label_better_expression,Label,Medium
FeedbackCard.kt,177,詳細を隠す,Hide details,상세 숨기기,action_hide_details,Action,Medium
FeedbackCard.kt,177,詳細を見る,See details,상세 보기,action_see_details,Action,Medium
FeedbackCard.kt,216,確認済み,Acknowledged,확인됨,status_acknowledged,Status,Medium
FeedbackCard.kt,228,適用,Apply,적용,action_apply,Action,Medium
FeedbackCard.kt,243,間違い,Error,오류,severity_error,Label,Medium
FeedbackCard.kt,244,注意,Warning,주의,severity_warning,Label,Medium
FeedbackCard.kt,245,情報,Info,정보,severity_info,Label,Medium
FeedbackCard.kt,304,文法,Grammar,문법,feedback_type_grammar,Label,Medium
FeedbackCard.kt,305,不自然な表現,Unnatural expression,부자연스러운 표현,feedback_type_unnatural,Label,Medium
FeedbackCard.kt,306,より良い表現,Better expression,더 나은 표현,feedback_type_better,Label,Medium
FeedbackCard.kt,307,会話の流れ,Conversation flow,대화 흐름,feedback_type_flow,Label,Medium
FeedbackCard.kt,308,敬語レベル,Politeness level,경어 레벨,feedback_type_politeness,Label,Medium
AddVocabularyScreen.kt,31,単語を追加しました！,Word added!,단어를 추가했습니다!,message_word_added,Toast,Medium
Charts.kt,35,分,minutes,분,unit_minutes,Unit,Low
